Site Name,IP Address
Biwi,192.168.22.39
Chakale,192.168.22.43
Chalasa,192.168.22.3
Chaonya,192.168.22.7
Chidalanda,192.168.22.9
Chikamba,192.168.22.49
Chimphepo,192.168.22.38
Chisomba,192.168.22.40
Chitawa,192.168.22.35
Chitululu,192.168.22.37
Chidzele,192.168.22.41
Chizumba,192.168.22.46
Chule I,192.168.22.32
Court,192.168.21.2
Dongolosi,192.168.22.20
GVH Mtema,192.168.22.4
Kabzoko,192.168.22.25
Kacheche,192.168.22.21
Kadzinkambani,192.168.22.29
Kalulu,192.168.22.30
Kamadzi,192.168.22.23
Kambulile I,192.168.22.5
Kambulile II,192.168.22.6
Kamphinga,192.168.22.45
Kanyoza,192.168.22.34
Kholongo,192.168.22.15
Malenga,192.168.22.44
Mankhwazi,192.168.22.26
Maole,192.168.22.22
Maselero,192.168.22.17
Matchakaza,192.168.22.14
Mawunda,192.168.22.83
Mbalani,192.168.22.27
Mfuti,192.168.22.18
Mndele,192.168.22.10
Mphonde,192.168.22.13
Mtema II,192.168.22.36
Mutu,192.168.22.12
Mzingo,192.168.22.31
mzumazi,192.168.22.24
Nchazime,192.168.22.42
Ngoza,192.168.22.33
Nkhonkha,192.168.22.8
Nkhuntchi,192.168.22.28
Nsanda,192.168.22.48
Pheleni,192.168.22.16
Taiza,192.168.22.11
Thandaza,192.168.22.19
Tonde,192.168.22.47
Undi,192.168.22.50
Waya Kunseche,192.168.22.2
Bwalo 1,192.168.22.80
Bwalo 2,192.168.22.66
Bwatha,192.168.22.75
Chagamba,192.168.22.92
Chikolokoto,192.168.22.78
Chithengo,192.168.22.72
Chule 2,192.168.22.62
Fainda,192.168.22.71
Kafutwe,192.168.22.73
Kambira,192.168.22.93
Kaning'a,192.168.22.88
M'maso,192.168.22.54
Masumba,192.168.22.91
Mazira,192.168.22.77
Mbewa,192.168.22.86
Mbulachisa,192.168.22.68
Mchena,192.168.22.65
Mdzoole,192.168.22.87
Mgwadula,192.168.22.69
Misewu,192.168.22.74
Mkupeta,192.168.22.67
Mphandu,192.168.22.76
Mseteza,192.168.22.60
Mtsukwa Chikupa,192.168.22.94
Mtsukwa kalonje,192.168.22.61
Mwaza,192.168.22.70
Mzumanzi 2,192.168.22.90
Ndalama,192.168.22.79
Nkhadani 2,192.168.22.89
Nkhanamba,192.168.22.85
khadani 1,192.168.22.84
Suntche 1,192.168.22.63
Suntche 2,192.168.22.64
Ngoni,192.168.22.1
Ukwe,192.168.22.52
Mbang’ombe,192.168.22.53
Chimwala,192.168.80.36
